"model","positive_class","threshold","n","auc","recall","precision","specificity","accuracy","f1","tp","fp","fn","tn","predicted_positive_n","predicted_positive_pct"
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.33,43495,0.8799,0.9216,0.6676,0.6114,0.7536,0.7743,18379,9153,1563,14400,27532,63.3
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.34,43495,0.8799,0.9167,0.6719,0.6209,0.7565,0.7754,18280,8928,1662,14625,27208,62.55
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.35,43495,0.8799,0.9123,0.676,0.6298,0.7593,0.7766,18193,8720,1749,14833,26913,61.88
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.36,43495,0.8799,0.9074,0.6804,0.6391,0.7621,0.7777,18095,8500,1847,15053,26595,61.14
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.37,43495,0.8799,0.9017,0.684,0.6473,0.7639,0.7779,17982,8308,1960,15245,26290,60.44
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.38,43495,0.8799,0.8953,0.6885,0.657,0.7663,0.7784,17855,8079,2087,15474,25934,59.63
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.39,43495,0.8799,0.8893,0.6926,0.6659,0.7683,0.7787,17734,7870,2208,15683,25604,58.87
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.4,43495,0.8799,0.8827,0.6967,0.6746,0.77,0.7787,17603,7664,2339,15889,25267,58.09
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.41,43495,0.8799,0.8758,0.7012,0.6839,0.7719,0.7788,17465,7444,2477,16109,24909,57.27
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.42,43495,0.8799,0.8676,0.7052,0.6929,0.773,0.778,17302,7233,2640,16320,24535,56.41
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.43,43495,0.8799,0.8587,0.71,0.703,0.7744,0.7773,17125,6995,2817,16558,24120,55.45
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.44,43495,0.8799,0.8504,0.7145,0.7124,0.7757,0.7766,16959,6775,2983,16778,23734,54.57
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.45,43495,0.8799,0.8428,0.7196,0.7219,0.7773,0.7763,16808,6551,3134,17002,23359,53.71
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.46,43495,0.8799,0.8356,0.7252,0.7319,0.7794,0.7765,16663,6314,3279,17239,22977,52.83
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.47,43495,0.8799,0.8277,0.7295,0.7402,0.7803,0.7755,16505,6119,3437,17434,22624,52.02
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.48,43495,0.8799,0.8181,0.7343,0.7493,0.7809,0.7739,16315,5904,3627,17649,22219,51.08
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.49,43495,0.8799,0.8104,0.7403,0.7594,0.7827,0.7738,16160,5668,3782,17885,21828,50.19
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.5,43495,0.8799,0.8008,0.745,0.7679,0.783,0.7719,15970,5467,3972,18086,21437,49.29
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.51,43495,0.8799,0.791,0.7503,0.7771,0.7835,0.7702,15775,5249,4167,18304,21024,48.34
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.52,43495,0.8799,0.7825,0.7551,0.7851,0.7839,0.7685,15605,5062,4337,18491,20667,47.52
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.53,43495,0.8799,0.7738,0.7609,0.7942,0.7848,0.7673,15432,4848,4510,18705,20280,46.63
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.54,43495,0.8799,0.7629,0.7669,0.8037,0.785,0.7649,15213,4623,4729,18930,19836,45.61
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.55,43495,0.8799,0.7532,0.7731,0.8128,0.7855,0.763,15021,4408,4921,19145,19429,44.67
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.56,43495,0.8799,0.7438,0.778,0.8203,0.7852,0.7605,14832,4233,5110,19320,19065,43.83
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.57,43495,0.8799,0.7323,0.784,0.8292,0.7847,0.7572,14603,4024,5339,19529,18627,42.83
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.58,43495,0.8799,0.7205,0.7898,0.8376,0.784,0.7536,14369,3824,5573,19729,18193,41.83
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.59,43495,0.8799,0.7082,0.795,0.8454,0.7825,0.7491,14122,3642,5820,19911,17764,40.84
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.6,43495,0.8799,0.6961,0.8007,0.8534,0.7812,0.7447,13881,3454,6061,20099,17335,39.86
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.61,43495,0.8799,0.6839,0.806,0.8606,0.7796,0.74,13639,3283,6303,20270,16922,38.91
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.62,43495,0.8799,0.6714,0.8124,0.8687,0.7783,0.7352,13390,3092,6552,20461,16482,37.89
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.63,43495,0.8799,0.6584,0.8184,0.8763,0.7764,0.7297,13130,2913,6812,20640,16043,36.88
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.64,43495,0.8799,0.6455,0.8248,0.8839,0.7746,0.7242,12873,2734,7069,20819,15607,35.88
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.65,43495,0.8799,0.6321,0.8302,0.8905,0.7721,0.7178,12606,2578,7336,20975,15184,34.91
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.66,43495,0.8799,0.6185,0.8369,0.898,0.7698,0.7113,12334,2403,7608,21150,14737,33.88
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.67,43495,0.8799,0.603,0.8425,0.9046,0.7663,0.7029,12025,2248,7917,21305,14273,32.82
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.68,43495,0.8799,0.59,0.8494,0.9114,0.764,0.6963,11765,2086,8177,21467,13851,31.85
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.69,43495,0.8799,0.5754,0.8547,0.9172,0.7605,0.6878,11475,1951,8467,21602,13426,30.87
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.7,43495,0.8799,0.5615,0.861,0.9232,0.7574,0.6797,11197,1808,8745,21745,13005,29.9
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.71,43495,0.8799,0.5477,0.8684,0.9297,0.7546,0.6717,10922,1655,9020,21898,12577,28.92
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.72,43495,0.8799,0.5339,0.8752,0.9355,0.7514,0.6633,10648,1518,9294,22035,12166,27.97
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.73,43495,0.8799,0.52,0.8815,0.9408,0.7479,0.6541,10369,1394,9573,22159,11763,27.04
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.74,43495,0.8799,0.505,0.8886,0.9464,0.744,0.644,10071,1263,9871,22290,11334,26.06
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.75,43495,0.8799,0.492,0.895,0.9511,0.7406,0.635,9812,1151,10130,22402,10963,25.21
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.76,43495,0.8799,0.4792,0.9005,0.9552,0.737,0.6256,9557,1056,10385,22497,10613,24.4
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.77,43495,0.8799,0.4665,0.9079,0.9599,0.7337,0.6163,9303,944,10639,22609,10247,23.56
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.78,43495,0.8799,0.4535,0.9133,0.9636,0.7297,0.606,9043,858,10899,22695,9901,22.76
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.79,43495,0.8799,0.4404,0.9205,0.9678,0.726,0.5958,8783,759,11159,22794,9542,21.94
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.8,43495,0.8799,0.4293,0.9264,0.9711,0.7227,0.5867,8561,680,11381,22873,9241,21.25
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.81,43495,0.8799,0.4186,0.9315,0.9739,0.7193,0.5776,8347,614,11595,22939,8961,20.6
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.82,43495,0.8799,0.407,0.9369,0.9768,0.7156,0.5675,8117,547,11825,23006,8664,19.92
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.83,43495,0.8799,0.3972,0.9413,0.979,0.7122,0.5586,7920,494,12022,23059,8414,19.34
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.84,43495,0.8799,0.3864,0.9466,0.9815,0.7087,0.5488,7706,435,12236,23118,8141,18.72
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.85,43495,0.8799,0.3761,0.9499,0.9832,0.7049,0.5389,7501,396,12441,23157,7897,18.16
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.86,43495,0.8799,0.3666,0.9529,0.9847,0.7013,0.5295,7311,361,12631,23192,7672,17.64
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.87,43495,0.8799,0.3575,0.9565,0.9862,0.698,0.5205,7130,324,12812,23229,7454,17.14
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.88,43495,0.8799,0.3474,0.9596,0.9876,0.6941,0.5101,6928,292,13014,23261,7220,16.6
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.89,43495,0.8799,0.3379,0.9638,0.9893,0.6906,0.5004,6739,253,13203,23300,6992,16.08
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.9,43495,0.8799,0.3293,0.9682,0.9908,0.6875,0.4914,6567,216,13375,23337,6783,15.59
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.91,43495,0.8799,0.3191,0.9704,0.9918,0.6833,0.4802,6363,194,13579,23359,6557,15.08
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.92,43495,0.8799,0.3074,0.9746,0.9932,0.6788,0.4674,6131,160,13811,23393,6291,14.46
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.93,43495,0.8799,0.2942,0.9793,0.9947,0.6735,0.4525,5867,124,14075,23429,5991,13.77
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.94,43495,0.8799,0.2777,0.9812,0.9955,0.6664,0.4328,5537,106,14405,23447,5643,12.97
"Model 2B: Non-ALC high-need vs Non-ALC community-oriented","Non-ALC high-need",0.95,43495,0.8799,0.2567,0.9842,0.9965,0.6573,0.4072,5119,82,14823,23471,5201,11.96
